"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","313.02","310.94","313.11","306.68","","0.67%"
"06/19/2025","310.94","309.09","313.00","304.65","","0.60%"
"06/18/2025","309.09","308.10","309.09","305.04","","0.32%"
"06/17/2025","308.10","306.33","308.11","304.51","","0.58%"
"06/16/2025","306.33","306.17","307.77","305.81","","0.05%"
"06/13/2025","306.17","306.87","307.81","305.18","","-0.23%"
"06/12/2025","306.87","305.61","307.37","303.83","","0.41%"
"06/11/2025","305.61","304.34","306.96","302.50","","0.42%"
"06/10/2025","304.34","302.06","305.36","301.23","","0.75%"
"06/05/2025","302.06","302.17","302.74","299.90","","-0.04%"
"06/04/2025","302.17","301.49","303.83","299.33","","0.23%"
"06/03/2025","301.49","302.80","306.31","298.26","","-0.43%"
"06/02/2025","302.80","303.03","304.49","297.21","","-0.08%"
"05/30/2025","303.03","302.76","303.03","301.13","","0.09%"
"05/28/2025","302.76","303.83","303.90","300.86","","-0.35%"
"05/27/2025","303.83","301.74","303.95","299.35","","0.69%"
"05/26/2025","301.74","303.25","303.70","301.09","","-0.50%"
"05/23/2025","303.25","302.57","304.57","302.04","","0.22%"
"05/22/2025","302.57","303.31","304.75","300.96","","-0.24%"
"05/21/2025","303.31","303.39","303.42","298.37","","-0.03%"
"05/20/2025","303.39","302.01","303.62","297.61","","0.46%"
"05/19/2025","302.01","301.29","303.34","299.12","","0.24%"
"05/16/2025","301.29","300.38","301.29","296.80","","0.30%"
"05/15/2025","300.38","298.17","300.46","297.07","","0.74%"
"05/14/2025","298.17","296.46","298.66","291.35","","0.58%"
"05/13/2025","296.46","295.60","297.57","294.69","","0.29%"
"05/12/2025","295.60","295.02","295.69","291.84","","0.20%"
"05/09/2025","295.02","292.54","295.21","290.20","","0.85%"
"05/08/2025","292.54","291.26","292.72","290.08","","0.44%"
"05/07/2025","291.26","290.62","292.48","288.61","","0.22%"
"05/06/2025","290.62","287.75","291.86","287.45","","1.00%"
"05/05/2025","287.75","288.98","289.79","287.67","","-0.61%"
"05/02/2025","289.52","287.07","289.52","285.34","","0.85%"
"04/30/2025","287.07","287.71","288.26","286.75","","-0.22%"
"04/29/2025","287.71","285.87","289.83","285.57","","0.64%"
"04/28/2025","285.87","287.27","289.13","284.75","","-0.49%"
"04/25/2025","287.27","287.88","288.07","284.41","","-0.21%"
"04/24/2025","287.88","285.60","287.88","283.30","","0.80%"
"04/23/2025","285.60","285.94","289.16","284.90","","-0.12%"
"04/22/2025","285.94","281.52","288.08","281.52","","1.57%"
"04/18/2025","281.52","288.57","288.57","281.52","","-2.44%"
"04/17/2025","288.57","285.81","288.68","282.11","","0.97%"
"04/16/2025","285.81","286.59","288.32","283.75","","-0.27%"
"04/15/2025","286.59","287.19","289.86","284.16","","-0.21%"
"04/14/2025","287.19","290.79","291.63","284.72","","-1.24%"
"04/11/2025","290.79","289.19","291.91","287.89","","0.55%"
"04/10/2025","289.19","284.89","289.20","282.65","","1.51%"
"04/09/2025","284.89","287.76","287.76","283.90","","-1.33%"
"04/04/2025","288.73","287.75","289.66","286.11","","0.34%"
"04/03/2025","287.75","287.93","288.75","287.01","","-0.06%"
"04/02/2025","287.93","288.02","288.36","286.18","","-0.03%"
"04/01/2025","288.02","287.43","290.87","286.10","","0.21%"
"03/28/2025","287.43","285.43","288.08","284.11","","0.70%"
"03/26/2025","285.43","283.97","285.95","281.87","","0.51%"
"03/25/2025","283.97","284.48","286.11","281.60","","-0.18%"
"03/24/2025","284.48","283.12","286.31","282.22","","0.48%"
"03/21/2025","283.12","284.93","285.46","279.37","","-0.64%"
"03/20/2025","284.93","288.93","288.93","281.71","","-1.38%"
"03/19/2025","288.93","291.98","292.05","284.86","","-1.04%"
"03/18/2025","291.98","292.08","292.52","288.58","","-0.03%"
"03/17/2025","292.08","291.92","293.12","288.21","","0.05%"
"03/14/2025","291.92","290.91","293.10","290.90","","0.35%"
"03/13/2025","290.91","291.84","292.35","290.09","","-0.32%"
"03/12/2025","291.84","291.85","291.89","288.82","","0.00%"
"03/11/2025","291.85","292.47","292.47","286.42","","-0.21%"
"03/10/2025","292.47","293.14","293.19","290.47","","-0.23%"
"03/07/2025","293.14","292.64","293.14","289.47","","0.17%"
"03/06/2025","292.64","291.59","292.64","286.83","","0.36%"
"03/05/2025","291.59","290.27","291.59","285.57","","0.45%"
"03/04/2025","290.27","292.75","293.35","286.91","","-0.85%"
"03/03/2025","292.75","292.49","293.19","289.02","","0.23%"
"02/28/2025","292.07","292.07","292.07","292.07","","0.33%"
"02/27/2025","291.12","290.47","291.63","287.41","","0.22%"
"02/26/2025","290.47","289.61","291.67","284.07","","0.30%"
"02/25/2025","289.61","292.77","293.17","287.43","","-1.08%"
"02/24/2025","292.77","293.78","293.78","285.29","","-0.34%"
"02/21/2025","293.78","291.22","294.35","290.83","","0.88%"
"02/20/2025","291.22","287.74","291.69","287.39","","1.21%"
"02/19/2025","287.74","285.93","288.23","285.46","","0.63%"
"02/18/2025","285.93","284.72","287.17","284.72","","0.42%"
"02/17/2025","284.72","283.99","286.50","283.32","","0.26%"
"02/14/2025","283.99","282.65","284.77","281.83","","0.47%"
"02/13/2025","282.65","283.36","283.99","281.01","","-0.25%"
"02/12/2025","283.36","280.81","283.36","280.33","","0.91%"
"02/11/2025","280.81","281.33","284.59","280.57","","-0.18%"
"02/10/2025","281.33","283.07","283.74","281.05","","-0.61%"
"02/07/2025","283.07","282.03","286.80","280.61","","0.37%"
"02/06/2025","282.03","280.07","283.17","279.38","","0.70%"
"02/05/2025","280.07","279.71","280.07","277.05","","0.13%"
"02/04/2025","279.71","277.24","279.71","276.25","","0.89%"
"02/03/2025","277.24","277.90","278.25","275.56","","-0.24%"
"01/31/2025","277.90","275.71","277.94","273.70","","0.79%"
"01/30/2025","275.71","278.65","278.65","274.01","","-1.06%"
"01/29/2025","278.65","278.16","278.65","274.85","","0.18%"
"01/28/2025","278.16","276.31","278.33","274.54","","0.67%"
"01/27/2025","276.31","274.07","276.60","271.89","","0.82%"
"01/24/2025","274.07","273.50","275.58","271.59","","0.21%"
"01/23/2025","273.50","272.18","273.74","271.88","","0.48%"
"01/22/2025","272.18","272.09","273.26","269.69","","0.03%"
"01/21/2025","272.09","272.53","273.45","270.27","","-0.16%"
"01/20/2025","272.53","273.52","274.13","271.23","","-0.36%"
"01/17/2025","273.52","270.93","275.29","269.70","","0.96%"
"01/16/2025","270.93","270.09","275.52","270.09","","0.31%"
"01/15/2025","270.09","270.66","272.98","267.69","","-0.21%"
"01/14/2025","270.66","274.10","274.10","270.30","","-1.26%"
"01/13/2025","274.10","271.77","274.39","270.15","","0.86%"
"01/10/2025","271.77","272.24","273.82","270.26","","-0.17%"
"01/09/2025","272.24","273.13","275.18","271.22","","-0.33%"
"01/08/2025","273.13","274.38","276.49","271.36","","-0.46%"
"01/07/2025","274.38","275.83","276.67","273.12","","-0.53%"
"01/06/2025","275.83","275.91","275.91","273.70","","-0.03%"
"01/03/2025","275.91","276.13","276.43","275.42","","0.11%"
"01/02/2025","275.62","276.02","276.02","273.00","","-0.14%"
"12/31/2024","276.02","272.21","276.07","271.30","","1.40%"
"12/30/2024","272.21","272.47","273.78","266.96","","-0.10%"
"12/27/2024","272.47","272.75","275.74","271.06","","-0.10%"
"12/26/2024","272.75","273.27","275.74","271.43","","-0.19%"
"12/24/2024","273.27","275.29","275.29","273.07","","-0.73%"
"12/23/2024","275.29","274.38","275.42","273.23","","0.33%"
"12/20/2024","274.38","274.34","275.01","272.36","","0.01%"
"12/19/2024","274.34","273.98","275.00","270.94","","0.13%"
"12/18/2024","273.98","273.88","274.92","272.88","","0.04%"
"12/17/2024","273.88","275.73","277.69","271.11","","-0.67%"
"12/16/2024","275.73","275.48","277.45","273.85","","0.09%"
"12/13/2024","275.48","274.23","275.48","271.97","","0.46%"
"12/12/2024","274.23","274.77","275.67","271.68","","-0.20%"
"12/11/2024","274.77","274.64","275.11","271.86","","0.05%"
"12/10/2024","274.64","275.13","277.87","272.32","","-0.18%"
"12/09/2024","275.13","275.40","275.45","272.64","","-0.10%"
"12/06/2024","275.40","274.13","275.50","272.89","","0.46%"
"12/05/2024","274.13","273.82","274.21","272.08","","0.11%"
"12/04/2024","273.82","274.15","274.31","272.55","","-0.12%"
"12/03/2024","274.15","273.36","274.27","271.57","","0.29%"
"12/02/2024","273.36","274.79","275.24","272.45","","-0.52%"
"11/29/2024","274.79","274.05","274.88","272.31","","0.27%"
"11/28/2024","274.05","273.45","274.98","272.90","","0.22%"
"11/27/2024","273.45","273.57","273.77","272.46","","-0.04%"
"11/26/2024","273.57","274.15","274.39","272.20","","-0.21%"
"11/25/2024","274.15","274.87","274.87","272.65","","-0.26%"
"11/22/2024","274.87","273.63","274.87","272.84","","0.45%"
"11/21/2024","273.63","274.10","274.55","273.63","","-0.17%"
"11/20/2024","274.10","274.93","275.41","273.65","","-0.30%"
"11/19/2024","274.93","273.54","275.01","271.16","","0.51%"
"11/18/2024","273.54","272.43","273.54","271.60","","0.41%"
"11/14/2024","272.43","273.63","275.39","271.38","","-0.44%"
"11/13/2024","273.63","271.22","274.31","270.55","","0.89%"
"11/12/2024","271.22","274.78","276.21","270.14","","-1.30%"
"11/11/2024","274.78","271.33","277.44","270.54","","1.27%"
"11/08/2024","271.33","270.20","271.36","269.07","","0.42%"
"11/07/2024","270.20","269.48","270.48","268.16","","0.27%"
"11/06/2024","269.48","269.45","269.73","267.74","","0.01%"
"11/05/2024","269.45","272.00","273.01","269.32","","-0.94%"
"11/04/2024","272.00","271.09","272.24","270.37","","0.34%"
"10/31/2024","271.09","270.53","272.96","270.53","","0.21%"
"10/30/2024","270.53","269.07","275.56","268.86","","0.54%"
"10/29/2024","269.07","269.00","271.22","267.20","","0.03%"
"10/28/2024","269.00","266.90","270.31","266.90","","0.79%"
"10/25/2024","266.90","265.90","267.53","265.71","","0.38%"
"10/24/2024","265.90","265.32","267.22","264.90","","0.22%"
"10/23/2024","265.32","264.28","265.32","263.40","","0.39%"
"10/22/2024","264.28","262.71","264.50","262.33","","0.60%"
"10/21/2024","262.71","263.11","263.97","262.26","","-0.15%"
"10/18/2024","263.11","263.49","263.70","262.03","","-0.14%"
"10/17/2024","263.49","262.83","263.87","262.28","","0.25%"
"10/16/2024","262.83","263.75","263.75","260.71","","-0.35%"
"10/15/2024","263.75","264.75","265.02","261.46","","-0.38%"
"10/14/2024","264.75","267.33","267.33","264.57","","-0.97%"
"10/11/2024","267.33","269.00","269.00","266.29","","-0.62%"
"10/10/2024","269.00","269.31","270.08","267.35","","-0.12%"
"10/09/2024","269.31","269.72","269.72","267.41","","-0.15%"
"10/08/2024","269.72","266.63","269.73","264.79","","1.16%"
"10/07/2024","266.63","264.27","266.76","263.12","","0.89%"
"10/04/2024","264.27","264.43","265.40","263.24","","-0.06%"
"10/03/2024","264.43","263.14","264.43","261.68","","0.49%"
"10/02/2024","263.14","263.73","264.52","261.74","","-0.22%"
